2026-05-05 16:50:47 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\backend.py:1398: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-05-05 16:50:48 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\layers\normalization\layer_normalization.py:328: The name tf.nn.fused_batch_norm is deprecated. Please use tf.compat.v1.nn.fused_batch_norm instead.

2026-05-05 16:50:48 | DEBUG    | ggth.models          | _build_lstm                         | LSTM block built  — units=32, dropout=0.20
2026-05-05 16:50:48 | INFO     | ggth.models          | build_dl_model                      | LSTM model compiled — params=37,121, lr=0.00100
2026-05-05 16:50:48 | INFO     | ggth.models          | build_dl_model                      | Building LSTM model — input_shape=(60, 30), tuning=False
2026-05-05 16:50:48 | DEBUG    | ggth.models          | _build_lstm                         | LSTM block built  — units=64, dropout=0.30
2026-05-05 16:50:48 | INFO     | ggth.models          | build_dl_model                      | LSTM model compiled — params=90,369, lr=0.00050
2026-05-05 16:50:49 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\utils\tf_utils.py:492: The name tf.ragged.RaggedTensorValue is deprecated. Please use tf.compat.v1.ragged.RaggedTensorValue instead.

2026-05-05 16:50:50 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\engine\base_layer_utils.py:384: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-05-05 16:52:30 | INFO     | ggth.models          | build_dl_model                      | Building GRU model — input_shape=(60, 30), tuning=False
2026-05-05 16:52:31 | DEBUG    | ggth.models          | _build_gru                          | GRU block built   — units=64/32, dropout=0.30
2026-05-05 16:52:31 | INFO     | ggth.models          | build_dl_model                      | GRU model compiled — params=84,865, lr=0.00050
2026-05-05 16:54:19 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-05-05 16:54:20 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-05 16:54:20 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-05 16:54:20 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-05 16:54:20 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-05 16:54:22 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-05-05 16:54:24 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-05-05 16:54:24 | INFO     | ggth                 | log_startup_banner                  |   GGTH Predictor v9.5  —  session start
2026-05-05 16:54:24 | INFO     | ggth                 | log_startup_banner                  |   Log file: C:\Users\jason\Desktop\GGTH 4-2-26\v2\ggth_predictor.log
2026-05-05 16:54:24 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-05-05 16:54:27 | INFO     | ggth.models          | build_dl_model                      | Building LSTM model — input_shape=(60, 25), tuning=True
2026-05-05 16:54:27 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\backend.py:1398: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-05-05 16:54:28 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\layers\normalization\layer_normalization.py:328: The name tf.nn.fused_batch_norm is deprecated. Please use tf.compat.v1.nn.fused_batch_norm instead.

2026-05-05 16:54:28 | DEBUG    | ggth.models          | _build_lstm                         | LSTM block built  — units=32, dropout=0.20
2026-05-05 16:54:28 | INFO     | ggth.models          | build_dl_model                      | LSTM model compiled — params=35,841, lr=0.00100
2026-05-05 16:54:28 | INFO     | ggth.models          | build_dl_model                      | Building LSTM model — input_shape=(60, 30), tuning=False
2026-05-05 16:54:29 | DEBUG    | ggth.models          | _build_lstm                         | LSTM block built  — units=64, dropout=0.30
2026-05-05 16:54:29 | INFO     | ggth.models          | build_dl_model                      | LSTM model compiled — params=90,369, lr=0.00050
2026-05-05 16:54:30 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\utils\tf_utils.py:492: The name tf.ragged.RaggedTensorValue is deprecated. Please use tf.compat.v1.ragged.RaggedTensorValue instead.

2026-05-05 16:54:31 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\engine\base_layer_utils.py:384: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-05-05 16:56:02 | INFO     | ggth.models          | build_dl_model                      | Building TRANSFORMER model — input_shape=(60, 30), tuning=False
2026-05-05 16:56:03 | DEBUG    | ggth.models          | _build_transformer                  | Transformer block built — embed_dim=30, heads=4, ff_dim=64, dropout=0.30, projected=False
2026-05-05 16:56:03 | INFO     | ggth.models          | build_dl_model                      | TRANSFORMER model compiled — params=31,133, lr=0.00050
2026-05-05 16:58:03 | INFO     | ggth.models          | build_dl_model                      | Building TCN model — input_shape=(60, 30), tuning=False
2026-05-05 16:58:03 | DEBUG    | ggth.models          | _build_tcn                          | TCN block built   — filters=64, dilations=[1, 2, 4, 8, 16], dropout=0.30
2026-05-05 16:58:03 | INFO     | ggth.models          | build_dl_model                      | TCN model compiled — params=75,137, lr=0.00050
2026-05-05 16:58:31 | INFO     | ggth.models          | build_dl_model                      | Building GRU model — input_shape=(60, 30), tuning=False
2026-05-05 16:58:33 | DEBUG    | ggth.models          | _build_gru                          | GRU block built   — units=64/32, dropout=0.30
